Место,Название компании,Регион,Отрасль,Итоговый балл,kind
1,Альфа-Банк,Москва,Банки,130.04,Крупнейшие
2,Яндекс,Москва,IT и интернет,119.37,Крупнейшие
3,ВТБ,Москва,Банки,118.12,Крупнейшие
4,Tele2,Москва,"Телекоммуникации, связь",112.88,Крупнейшие
5,"""Аэрофлот""",Москва,"Транспорт, логистика, автодилеры",112.04,Крупнейшие
6,Газпром нефть,Санкт-Петербург,"Энергетика, добыча и переработка сырья",111.71,Крупнейшие
7,Газпромбанк,Москва,Банки,111.7,Крупнейшие
8,VK,Москва,IT и интернет,111.56,Крупнейшие
9,X5 Group,Москва,Розничные сети,110.39,Крупнейшие
10,СИБУР,Москва,"Энергетика, добыча и переработка сырья",109.37,Крупнейшие
11,Тинькофф,Москва,IT и интернет,109.27,Крупнейшие
12,"AB InBev Efes (бренды BUD, Spaten, Efes Pilsener, Stella Artois, Velkopopovický Kozel, Hoegaarden, Abbe, Essa, «Старый Мельник из Бочонка» и др.)",Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",109.21,Крупнейшие
13,Райффайзен Банк,Москва,Банки,108.61,Крупнейшие
14,Почта Банк,Москва,Банки,108.02,Крупнейшие
15,МТС,Москва,"Телекоммуникации, связь",107.22,Крупнейшие
16,АльфаСтрахование,Москва,"Финансы, страхование, аудит",106.89,Крупнейшие
17,РОЛЬФ,Москва,"Транспорт, логистика, автодилеры",106.67,Крупнейшие
18,Совкомбанк,Москва,Банки,106.53,Крупнейшие
19,Ozon,Москва,IT и интернет,106.43,Крупнейшие
20,МегаФон,Москва,"Телекоммуникации, связь",106.12,Крупнейшие
21,Авито,Москва,IT и интернет,105.89,Крупнейшие
22,Норильский никель,Москва,"Промышленное производство (непищевое), торгово-производственные компании",105.79,Крупнейшие
23,Свеза,Санкт-Петербург,"Промышленное производство (непищевое), торгово-производственные компании",105.5,Крупнейшие
24,ВсеИнструменты.ру,Москва,Розничные сети,105.39,Крупнейшие
25,"Балтика, пивоваренная компания (Балтика, Tuborg, Kronenbourg 1664 Blanc, Žatecký Gus)",Санкт-Петербург,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",105.26,Крупнейшие
26,Группа НЛМК,Липецкая область,"Промышленное производство (непищевое), торгово-производственные компании",104.74,Крупнейшие
27,Самолет,Москва,Строительство и недвижимость,104.6,Крупнейшие
28,"Группа Черкизово («Черкизово», «Петелинка», «Куриное царство», «Пава - Пава», «Моссельпром» и др.)",Москва,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",103.92,Крупнейшие
29,МОСКОВСКИЙ КРЕДИТНЫЙ БАНК,Москва,Банки,103.89,Крупнейшие
30,Молвест (Вкуснотеево),Воронежская область,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",103.76,Крупнейшие
31,МТС Диджитал,Москва,IT и интернет,103.75,Крупнейшие
32,ЭТМ,Санкт-Петербург,"Оптовые продажи, дилеры, дистрибьюторы",103.73,Крупнейшие
33,METRO Россия,Москва,"Оптовые продажи, дилеры, дистрибьюторы",103.55,Крупнейшие
34,Этажи,Тюменская область,Строительство и недвижимость,103.37,Крупнейшие
35,РУСАГРО,Москва,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",103.34,Крупнейшие
36,Леруа Мерлен,Москва,Розничные сети,103.32,Крупнейшие
37,Росбанк,Москва,Банки,103.22,Крупнейшие
38,ВСК,Москва,"Финансы, страхование, аудит",103.09,Крупнейшие
39,НТА,Санкт-Петербург,"Транспорт, логистика, автодилеры",102.71,Крупнейшие
40,Хоум Банк,Москва,Банки,102.65,Крупнейшие
41,Золотое Яблоко,Свердловская область,Розничные сети,102.64,Крупнейшие
42,ЛАНИТ,Москва,IT и интернет,102.49,Крупнейшие
43,Lamoda,Москва,IT и интернет,102.34,Крупнейшие
44,ОТП Банк,Москва,Банки,102.25,Крупнейшие
45,Сима-ленд,Свердловская область,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",102.04,Крупнейшие
46,Fix Price,Москва,Розничные сети,101.78,Крупнейшие
47,S7,Москва,"Транспорт, логистика, автодилеры",101.63,Крупнейшие
48,Русклимат,Москва,"Промышленное производство (непищевое), торгово-производственные компании",101.55,Крупнейшие
49,Пятёрочка,Москва,Розничные сети,101.43,Крупнейшие
50,iFCM Group,Москва,Сервисные и инжиниринговые компании,101.37,Крупнейшие
51,Контур,Свердловская область,IT и интернет,101.24,Крупнейшие
52,Холдинг Т1,Москва,IT и интернет,101.2,Крупнейшие
53,РусГидро,Москва,"Энергетика, добыча и переработка сырья",101.03,Крупнейшие
54,ПСБ (Промсвязьбанк),Москва,Банки,100.97,Крупнейшие
55,МТС Банк,Москва,Банки,100.89,Крупнейшие
56,ФМ Ложистик,Московская область,"Транспорт, логистика, автодилеры",100.59,Крупнейшие
57,Delko,Республика Татарстан,"Транспорт, логистика, автодилеры",100.42,Крупнейшие
58,Казанский (Приволжский) федеральный университет,Республика Татарстан,Наука и образование,100.14,Крупнейшие
59,Додо Пицца,Москва,"Ресторанные сети, гостиницы",99.93,Крупнейшие
60,ФосАгро,Вологодская область,"Промышленное производство (непищевое), торгово-производственные компании",99.89,Крупнейшие
61,"Группа ""Эталон""",Санкт-Петербург,Строительство и недвижимость,99.67,Крупнейшие
62,VOXYS,Москва,Услуги для бизнеса,99.61,Крупнейшие
63,Перекрёсток,Москва,Розничные сети,99.57,Крупнейшие
